Invoice_Number,Invoice_Date,Meter_Hours,Unit,Missing,Description
35103,3/8/2022,12336,B30,0,Total Transp. Travel Charge Special Price: 2 105.00 210.00Labor Special  Rate Total Trans: Check hydraulic 4.5 112.50 506.25leak.  Leak coming from side shifter.  Removedcarriage/side shifter.  Replaced seals.  Test OK  NoleakSeal Kit SS SC 1 98.35 98.35T
36738,3/10/2022,12367,B30,0,Labor Special  Rate Total Trans:  Replace over mini 4.5 112.50 506.25mast hose for rotateWarranty Labor on Rentals -4.5 112.50 -506.25Hyd. Hose Assy 158.25 1 248.89 248.89TWarranty on Rental -1 248.89 -248.89T
55882,3/10/2022,12367,B30,0,Labor Special  Rate Total Trans:  Testing light bulb 1 112.50 112.50broken.  Replaced bulb.  Returned to service.Warning light bulb 1 97.50 97.50T
35425,4/9/2022,12506,B30,0,"Labor Special  Rate Total Trans:    Unit S7  Remove 3 112.50 337.50and replace carriage manager.  Program andcalibrate.Carriage Manager 1002391 1 2,360.00 2,360.00Tper Quote"
35434,4/20/2022,12584,B30,0,Labor Special  Rate Total Trans:  While walking by 5 112.50 562.50noticed springs broken so brought unit outside. Removed chains.  Ordered new parts.  Picked up andreturned.  Installed.  Removed lift pump leak frommesh point.  Cleaned and installed back on motor. Cleaned chains with wheel and greased.Compression Spring 830-243 2 124.19 248.38T
33969,4/25/2022,12593,B30,0,Total Transp. Travel Charge Special Price: 1.5 105.00 157.50Labor Special  Rate Total Trans:  Check no travel.  2.5 112.50 281.25Inspected unit.  Found bent battery plate not hittingswitch.  Removed plate and bent back into place.
37118,5/13/2022,12653,B30,0,"Labor Special  Rate Total Trans:  Check battery, 1 112.50 112.50water OK.  Volts per cell OK. one cell slightly lower. Connect to charger.  Recheck battery under load. OK.  Dropping to 35 volts.  Battery OKWarranty Labor on Rentals -1 112.50 -112.50"
55007,3/21/2022,8869,B35,0,Perform scheduled maintenance on propane truck: 1 113.00 113.00Blow off unit with compressed air. Change oil andfilter. Check all fluids and grease all fittings. Wipeddown unit and check all safety items.10W30 Motor Oil 5qt 1 35.40 35.40TCustomer Part -  oil filter 1 0.00 0.00TCustomer Part -  air filter 1 0.00 0.00T
33970,4/22/2022,28547,B6,0,"Labor Special  Rate Total Trans:  4/21  Check brakes 10.5 112.50 1,181.25and bad steering.  Removed both front wheels toinspect brakes.  Found broken self adjuster on rightside.  Replaced.  Removed steer cylinder   4/25 Replace seal at shop on steer cylinder.  Reinstalled onunit.Cable Adjuster Brake 5K 47470-U2130-71 1 85.97 85.97TCustomer Part - cylinder seal kit 1 0.00 0.00T"
36712,2/23/2022,n/a,Charger,0,Labor Special  Rate Total Trans: 2/22 Replaced 4.5 112.50 506.25broken chain on unit's overhead guard.  Labor Special  Rate Total Trans:  2/28 Unit down with 5 112.50 562.50no battery in unit.  Found battery for S8 on Pallet.Battery low on water.  Filled and charged.  Placed intoS6.  Tested unit will travel but no lift.Labor Special  Rate Total Trans: 3/1  Trouble shot 6 112.50 675.00and found lift contactor damaged. Also damaged rodto lift motor.  Ordered and picked up.  Installed partsthat were available.  Labor Special  Rate Total Trans:  3/2  Returned next 2 112.50 225.00day for further repairsOverhead chain 1 675.86 675.86TVolt RA1-105-153-100 1 690.25 690.25TSeal Kit  530-732/003 1 189.88 189.88TCard Coil  (used) 1 150.00 150.00T
36735,3/10/2022,n/a,Charger,0,Labor Special  Rate Total Trans:  Unit has hard code 5 112.50 562.5029.  Trouble shot.  Found brake coil open.  Removedbrake. Then removed brake from S4 unit and installedin S1.  Tested.  Returned to services.Brake Assy  Used 1 500.00 500.00T
36816,3/18/2022,n/a,charger,0,Labor Special  Rate Total Trans:  Check battery not 1.5 112.50 168.75lasting. Remove battery and check volts per cell - OK. Add four gallons of water.  Also found five bad waterinjectors.
35413,3/21/2022,n/a,Charger,0,Labor Special  Rate Total Trans:  Found unit carriage 8 112.50 900.00slanted on tracks.  Tried to remove but will nottraverse off.  Julio came to help with repair.  Changedlateral bearing.  Fixed top (L) bearing.Warranty Labor on Rentals -8 112.50 -900.00Bearing Mast 1 88.75 88.75TPad Bumper 360-053 2 18.80 37.60TWarranty on Rental -1 126.35 -126.35T
37394,5/25/2022,n/a,Charger,0,Labor Special  Rate Total Trans:  Unit has leak on 4.5 112.50 506.25floor.  Troublshot.  Found cut in over mast hose forrotate.  Removed.  Had new hose made.  Returnedand Installed.  Cleaned unit of fluid.  Returned toservice.***Customer DamageHyd Hose Assembly 1 355.40 355.40T
35464,1/11/2022,n/a,compressor,0,Labor Special  Rate Total Trans:  Replaced hydraulic 6.5 112.50 731.25pump and return line hose.Customer Part -  pump assy 1 0.00 0.00TLow Pressure Hose 1 160.10 160.10T
36685,1/18/2022,n/a,compressor,0,"Labor Special  Rate Total Trans:  2/2  Found unit 9 112.50 1,012.50coding with bouncing travel.  Replaced drive tire. Found Battery water low and encoder for steer notworking. 2/3  Picked up controller to test and setencoder.  Installed.  Replaced.  Filled battery withwater.Tire Drive Crown Reach 13x5.5x8 1 335.65 335.65TEncoder Assembly 1 650.19 650.19TPress and Core 005PCR 1 35.00 35.00TTire Disposal 1 20.00 20.00T"
32954R10Jan,1/4/2022,7799,Missing,1,"Rental Forklift 8000lb capacity Toyota Model 1 1,275.00 1,275.00T8FGCU358CS Rental from 1/9/22   thru 2/8/22Discount -127.50 -127.50"
36657,1/5/2022,8160,Missing,1,Labor Special  Rate Total Trans:  Check traverse 2 112.50 225.00issue.  Adjusted traverse pot and tightened set screw.
36658,1/5/2022,6070,Missing,1,Labor Special  Rate Total Trans:  Remove and 1 112.50 112.50replace bad hornWarranty Labor on Rentals -1 112.50 -112.50Horn Assy 8 Model 58120-26640-71 1 152.65 152.65TWarranty on Rental -1 152.65 -152.65T
32954R11feb,2/3/2022,7799,Missing,1,"Forklift Rental:  Raymond Turret Forklift Model 1 1,975.00 1,975.00T970-CSR30T.  Serial # 97011-01561 Unit #TR103. Monthl rental 4/28/2021 - 5/27/22Special Total Discount -197.50 -197.50"
36558,2/11/2022,8259,Missing,1,"Labor Special  Rate Total Trans: 2/18 Diaagnoise and 14.5 112.50 1,631.25pressure test.  2/21 Order and pick up anddisassemble radiator.  Drag back into building.  2/22 Dissassemble and replace radiator system.  Bleedcooling system.  2/23  Fix lights due to short.  Repairwiring.  Replace two burned bulbs on work lights.Radiator 1 708.52 708.52THose Lower Rad CP 1 51.92 51.92THose Upper Rad CP 1 54.65 54.65TAntifreeze 550162 1 30.50 30.50TWork Light Bulb 2 24.70 49.40T"
36714,3/3/2022,Missing,Missing,2,Labor Special  Rate Total Trans:  2/18  Removed 4 112.50 450.00battery checked water a little low.  Topped off battery.Placed on charger will check when charged. Returned 3/2  Checked battery 6volt drop on fullcharge. All cells at 2.2 volts or higher.  Placed in unit. Tested.  Returned to service.Warranty Labor on Rentals -2 112.50 -225.00
35476,3/17/2022,Missing,Missing,2,Labor Special  Rate Total Trans:  Bolt broke on 1.5 112.50 168.75bottom of fork.  Replaced.Bolt 1 6.45 6.45TSpacer 1 5.69 5.69T
35112,3/18/2022,10982,Missing,1,Total Transp. Travel Charge Special Price: 1 105.00 105.00Labor Special  Rate Total Trans:  Check leaking 3.5 112.50 393.75hoses over mast.  Inspected hoses.  Found leaks. Removed and replaced hoses.  Test.  OKHose Assembly838-006 2 367.95 735.90TQ-207 Brake Cleaner 2 10.95 21.90T
37373,5/6/2022,9538,Missing,1,"Labor Special  Rate Total Trans: Check unit hesitating 4 112.50 450.00and not going far.  Found lower angle sensor bent andlift sensor bent. Also, air gap for brakes out of range. Remove lower bracket and rebend.  Reinstall. Rebendlift switch arm and test.  Shim air gap sensor.  Test OKShim 3 2.98 8.94T"
37403,5/26/2022,Missing,Missing,2,"Labor Special  Rate Total Trans: Unit showing pedal 2 121.50 243.00issue.  Found debris under pedal activating it atstart-up.  Removed, Cleaned, Returned to service."
33218R8Jan,1/4/2022,22158,E415,0,"Forklift Rental:  rental forklift with Four way valve for 1 1,275.00 1,275.00Tsingle/double cascade.  Model Toyota 8FBCU30: Serial #63454  month to month rent    6/7/22- 7/6/22Special Discount 10% -127.50 -127.50"
33218R9Feb,2/3/2022,22158,E415,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.
33218R10Mar,3/2/2022,22158,E415,0,"Labor Special  Rate Total Trans: Check leaking hyd 8.5 112.50 956.25fluid.  Found line to mini mast failed.  Remove cover. Remove plastic guards.  Remove hose.  Get newhose made.  Install new hose.  Reinstall all parts. Test.Hyd Hose 1/2"" 1 306.25 306.25TO Ring 1 17.58 17.58T"
36941,3/18/2022,Missing,E415,1,Labor Special  Rate Total Trans:  5/27  Check rotate.  7 112.50 787.50Found broken master link on pivot cylinder.  Orderparts.  5/31  Install new master link and calibrate pivot sensor.Master Link CR132747 1 71.50 71.50T
33218R11Apr,4/1/2022,22158,E415,0,"Forklift Rental:  rental forklift with Four way valve for 1 1,275.00 1,275.00Tsingle/double cascade.  Model Toyota 8FBCU30: Serial #63454  month to month rent    3/7/22  - 4/6/22Special Discount 10% -127.50 -127.50"
33218R12May,5/6/2022,22158,E415,0,"Forklift Rental:  rental forklift with Four way valve for 1 1,275.00 1,275.00Tsingle/double cascade.  Model Toyota 8FBCU30: Serial #63454  month to month rent    5/7/22  -6/6/22Special Discount 10% -127.50 -127.50"
33218R13Jun,5/31/2022,22158,E415,0,"Forklift Rental:  rental forklift with Four way valve for 1 1,275.00 1,275.00Tsingle/double cascade.  Model Toyota 8FBCU30: Serial #63454  month to month rent    4/7/22  -5/6/22Special Discount 10% -127.50 -127.50"
33260R13jun,5/31/2022,Missing,E428,1,"Forklift Rental:  rental forklift with Four way valve for 1 1,275.00 1,275.00Tsingle/double cascade.  Model Toyota 8FBCU30: Serial #63454  month to month rent    1/7/22  - 2/6/22Special Discount 10% -127.50 -127.50"
55877,2/2/2022,5536,F1,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.
36722,4/28/2022,40,F1,0,Labor Special  Rate Total Trans: Replaced over mast 5 112.50 562.50side shift hose.Hose Assembly side shift 1 137.36 137.36T
54981,1/28/2022,5254,F2,0,Labor Special  Rate Total Trans:  Checked and filled 4 121.50 486.00all rental batteries with water
35098,3/1/2022,5274,F2,0,Total Transp. Travel Charge Special Price: 1 105.00 105.00Labor Special  Rate Total Trans: Side shifter fell off.  2.5 112.50 281.25REassemble side shifter.  Put carriage back on mast. Pickup new clip for side shifter and install.Clip 1 17.55 17.55T
36820,3/25/2022,5332,F2,0,Labor Special  Rate Total Trans:  Check charger 1.75 112.50 196.88connector.  Replaced broken cable connector350Amp Gray.  Replace connector on charger for S5. Install 350 Blue.  P7 and P6 repair A/C plug wires. Too long for clamp.  Shorten and reconnect.Connector  Blue 350 1 37.75 37.75T
55145,4/29/2022,5322,F2,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.
36661,1/6/2022,31519,F3,0,Labor Special  Rate Total Trans:  Replaced steer amp 5 112.50 562.50under warrantyWarranty Labor -5 112.50 -562.50Steer Circuit Card 1 628.75 628.75TWarranty Parts -1 628.75 -628.75T
55859,1/6/2022,31519,F3,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.
35463,1/10/2022,31525,F3,0,Labor Special  Rate Total Trans:  Replaced pedal 1.5 112.50 168.75assembly.Warranty Labor on Rentals -1.5 112.50 -168.75Torsion spring 1 62.05 62.05TBracket 1 165.71 165.71TBushing 1 16.51 16.51TWarranty on Rental -1 244.27 -244.27T
35465,1/11/2022,31527,F3,0,Labor Special  Rate Total Trans:  Replaced fuses on 5 112.50 562.50plug for compressor.  Also ran new lines for drain oncompressor that were never run before.Fuse 30AMP 6 30.57 183.42TConnector tee 1 22.57 22.57TConnector 1 16.50 16.50THose 1 5.95 5.95T
35087,1/31/2022,8063,F5,0,Total Transp. Travel Charge Special Price: 2 0.00 0.00Labor Special  Rate Total Trans:  Check not starting.  0.5 112.50 56.25Tested battery. Failed test.  Picked up new battery. Test OKBattery Group 24 35DL 1 175.00 175.00T
35085,2/2/2022,8063,F5,0,Total Transp. Travel Charge Special Price: 0.5 105.00 52.50Labor Special  Rate Total Trans:  Check brake pedal 2.5 112.50 281.25going all the way down.  Inspected unit.  Found nobrake fluid in reservoir.  Adjusted brake shoes. Tested brake.  OK  Bled brakes.Brake Fluid Dot 3 1 11.75 11.75T
35094,2/4/2022,8079,F5,0,Total Transp. Travel Charge Special Price: 1 105.00 105.00Labor Special  Rate Total Trans:  Check for hydraulic 3.5 112.50 393.75leak.  Found leaking hose on carriage.  Removedhose and Replaced.Warranty Labor on Rentals -1 498.75 -498.75Warranty on Rental  Hose 1 0.00 0.00T
36532,2/24/2022,Missing,F5,1,Labor Special  Rate Total Trans:  No working light.  2.5 112.50 281.25Found bad light.  Remove light.  Get new light. Cut offold plug.  Splice wires.  Drill base for new light.  Install.Test.Customer Part - working light 1 0.00 0.00T
55185,5/31/2022,Missing,F5,1,SM Counterbalance: Remove covers and blow off unit 1 113.00 113.00with compressed air. Checked all fluids and greasedunit. Wiped down and checked all safety items.
35083,1/27/2022,10322,F6,0,Total Transp. Travel Charge Special Price: 1 105.00 105.00Labor Special  Rate Total Trans:  Deadman Pedal 4 112.50 450.00switches not activating.  Picked up new switches andreplaced and rewired.Switch Kit 1 28.50 28.50T
36699,2/7/2022,10485,F6,0,Labor Special  Rate Total Trans:  Replaced TM1 and 6 112.50 675.00TM2 from unit S4.  Removed drive motor.  Replacedbolts that were brokenBolt 4 2.90 11.60T
55892,3/24/2022,10736,F6,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.Scheduled Maintenance Additional Labor:  Touch up 0.5 112.50 56.25paintPaint Crown Beige 1 15.75 15.75T
37395,5/25/2022,11148,F6,0,Labor Special  Rate Total Trans:  Charger not 2 112.50 225.00powering on.  Tested.  Found plug wires to outletbroken.  Wired plug back in.  Tested.  Returned toservice.
36709,2/24/2022,106,F7,0,Labor Special  Rate Total Trans:  2/24 Removed 3.5 112.50 393.75battery unit wont travel. Took battery to place oncharger.  Checked and found no water in battery andwater system is not functioning.  2/28  Wateredbattery after charge.
55870,2/28/2022,106,F7,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.
35418,4/6/2022,311,F7,0,Labor Special  Rate Total Trans:  Check not tracking 3 112.50 337.50wire.  Was unable to replicate problem.  Checked onall new wires and learned.  Brought unit out andcleaned cards and plugs.  Checked and learnedagain.  Returned to customer.
36723,5/4/2022,541,F7,0,Labor Special  Rate Total Trans:  Replaced horn that 4 112.50 450.00was not working.  Replaced rings and pins in hornassembly.Horn Assy 8 Model 58120-26640-71 1 152.65 152.65THorn Kit 90904-U9540-71 1 138.29 138.29T
37389,5/25/2022,648,F7,0,Labor Special  Rate Total Trans:  5/12 and 5/13  8 112.50 900.00Replaced mini mast sealMini mast cylinder seal kit 1 288.25 288.25TQ-207 Brake Cleaner 1 10.95 10.95T
35491,2/23/2022,Missing,F8,1,Labor Special  Rate Total Trans:  Replaced hoses on 4 112.50 450.00clamp.  Cleaned and greased.Hyd Hose Assy 1 86.96 86.96THyd Hose Assy  x 24 89.52 89.52T
36518,3/29/2022,7538,F8,0,Labor Special  Rate Total Trans:  2/18  Check no 5.5 112.50 618.75working lights.  Order new parts. 2/23  Pick up partsand replace lighting.Working Light  LED 2 128.70 257.40T
55186,5/31/2022,7761,F8,0,Perform scheduled maintenance on propane truck: 1 120.00 120.00Blow off unit with compressed air. Change oil andfilter. Check all fluids and grease all fittings. Wipeddown unit and check all safety items.10W30 Motor Oil 5qt 1 35.40 35.40TFilter Oil 1 21.25 21.25T
55000,2/28/2022,6260,F9,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.
35362R3Jan,1/14/2022,Missing,FMOA-661,1,Labor Special  Rate Total Trans:  Found working light 1 112.50 112.50broken. Picked up new working light.  Replaced andrewired.  Test  OKWarranty Labor on Rentals -1 112.50 -112.50Working Light  SY00236 36V 1 54.30 54.30TWarranty on Rental -1 54.30 -54.30T
35362R4Feb,2/18/2022,Missing,FMOA-661,1,"Forklift Rental:  Raymond Turret Forklift Model 1 1,975.00 1,975.00T970-CSR30T.  Serial # 97011-01561 Unit #TR103. Monthl rental 2/28/2021 - 3/27/22Special Total Discount -197.50 -197.50"
35362R5Mar,3/2/2022,Missing,FMOA-661,1,"Rental Forklift:  Sit down Rental Forklift Model 1 1,275.00 1,275.00T7FBE420, Serial # 24023 Rental period 1/17/22-2/16/22Discount 10% -127.50 -127.50Rental Enersys Battery Charger model:EIP3-IN-4Y  1 195.00 195.00TSerial # PC503J77Discount 10% -19.50 -19.50"
35362R6Apr,4/1/2022,Missing,FMOA-661,1,"Rental Forklift:  Sit down Rental Forklift Model 1 1,275.00 1,275.00T7FBEU20, Serial # 24023 Rental period 3/17/22-4/16/22Discount 10% -127.50 -127.50Rental Enersys Battery Charger model:EIP3-IN-4Y  1 195.00 195.00TSerial # PC503J77Discount 10% -19.50 -19.50"
35362R7May,5/7/2022,Missing,FMOA-661,1,"Rental Forklift:  Sit down Rental Forklift Model 1 1,275.00 1,275.00T7FBEU20, Serial # 24023 Rental period 5/17/22-6/16/22Discount 10% -127.50 -127.50Rental Enersys Battery Charger model:EIP3-IN-4Y  1 195.00 195.00TSerial # PC503J77Discount 10% -19.50 -19.50"
35362R7May,5/7/2022,Missing,FMOA-661,1,"Rental Forklift:  Sit down Rental Forklift Model 1 1,275.00 1,275.00T7FBEU20, Serial # 24023 Rental period 4/17/22-5/16/22Discount 10% -127.50 -127.50Rental Enersys Battery Charger model:EIP3-IN-4Y  1 195.00 195.00TSerial # PC503J77Discount 10% -19.50 -19.50"
35362R8june,5/31/2022,Missing,FMOA-661,1,"Rental Forklift:  Sit down Rental Forklift Model 1 1,275.00 1,275.00T7FBEU20, Serial # 24023 Rental period 5/17/22-6/16/22Discount 10% -127.50 -127.50Rental Enersys Battery Charger model:EIP3-IN-4Y  1 195.00 195.00TSerial # PC503J77Discount 10% -19.50 -19.50"
36847,5/25/2022,Missing,Missing,2,Labor Special  Rate Total Trans: Check travel 3.75 112.50 421.88problem.  Found left drive motor erratic.  Orderedsensor.  Install and calibrate new steer pivot sensor. Test OK.Pot Steer 062709 1 523.63 523.63T
35437,4/18/2022,Missing,multiple,1,Labor Special  Rate Total Trans:  Unit rotating on 5.5 112.50 618.75own.  Switched display with S4 Due to damage tounits.  Julio replaced damaged lift knob.Knob Sa Lift Knob 1044206 1 62.28 62.28T
55880,1/26/2022,7005,P1,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.
55880,1/26/2022,7005,P1,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.
36684,2/3/2022,7014,P1,0,Labor Special  Rate Total Trans: Unit stuck in isle.  3.5 112.50 393.75Towed Out.  Found battery voltage dropped to 20volts.  Plugged in unit to charge before adding waterto unit. . Take off charger and stuck in isle again. Removed battery from unit.  Placed Battery from S6down unit into unit.  Filled battery with water.  Testedbattery and placed in S6
36715,3/2/2022,7016,P1,0,Labor Special  Rate Total Trans: Repaired multiple 6.5 112.50 731.25chargers.  Cables cut and taped.  Replaced tips andconnectors.Connector Battery-gray 3 43.59 130.77TConn Blue 350 2/0 SY6321G1 2 37.75 75.50T
35410,3/23/2022,7076,P1,0,
35415,3/24/2022,Missing,P1,1,Labor Special  Rate Total Trans:  3/21  Trouble shot.  6 112.50 675.00Went to four stores looking for correct fuse.  Found online.  Ordered and picked up.  4/7 Returned tocustomer and installed OKWarranty Labor on Rentals -6 112.50 -675.00Fuse 4XC84 1 165.50 165.50TWarranty on Rental -1 165.50 -165.50T
35428,4/7/2022,Missing,P1,1,Labor Special  Rate Total Trans:  Replace bleeder 4 112.50 450.00screws and cleaned unit.  Also added 4 gal. hydraulicfluid.Screw 2 1.75 3.50Tbackup ring 2 3.95 7.90THydraulic Oil ISO  gal 1 125.40 125.40T
36729,5/19/2022,Missing,P1,1,Labor Special  Rate Total Trans:  Left side arm broke. 2 112.50 225.00Drilled and replaced with bolt and nut off truck.Warranty Labor on Rentals -2 112.50 -225.00
37402,5/26/2022,Missing,P1,1,Labor Special  Rate Total Trans:  Unit has code 5 112.50 562.5029/52.  Trouble shot. Checked battery water - good. Check cells - good.  Cannot load drop due to codes. Charging will check tomorrow.  Pined out cable.  Noissue.  Cleaned card on display and buttons worknow.  Adjusted pins and unit not showing any furtherissues.
55881,1/25/2022,13129,P10,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.
36721,5/3/2022,13442,P10,0,Labor Special  Rate Total Trans: Horn not working 3 112.50 337.50when requesting full travel. Signifying a battery issue. Removed battery.  Filled with water.  Only six cells onright side low.  Should replace water system.  Testedall cells under load.
36724,5/4/2022,13445,P10,0,Labor Special  Rate Total Trans:  Replaced 3 112.50 337.50compression springs on main lift chains.Compression Spring 830-243 2 124.19 248.38T
55918,5/4/2022,13445,P10,0,Perform scheduled maintenance on orderpicker: 1 113.00 113.00Remove covers and blow off with compressed air.Checked all fluids and grease all fittings. Wiped downunit.
37374,5/17/2022,13449,P10,0,Labor Special  Rate Total Trans:  Lights not working.  3 112.50 337.50Bulbs burned-out. Ordered and picked up new. Installed.  Test.  Returned to serviceWarranty Labor on Rentals -3 112.50 -337.50Bulb 56551-12240-71 2 24.57 49.14TWarranty on Rental -2 24.57 -49.14T
37384,5/25/2022,12381,P10,0,Labor Special  Rate Total Trans: Touch up paint on 3.5 112.50 393.75unit.  Filled battery with water that was 8 gallons low. Only three cells had water.  Four caps are broken.
35070,1/17/2022,Missing,P11,1,Total Transp. Travel Charge Special Price: 1.5 105.00 157.50Labor Special  Rate Total Trans:  Check pallet clamp.  1 112.50 112.50Reassemble clamp.  Extract bolt.  Tightened andtested clamp.  OK
36732,3/8/2022,12786,P11,0,Labor Special  Rate Total Trans: Replaced drive 2.5 112.50 281.25motor brushes and stoned motor comm.Brushes 570-236/514 2 57.31 114.62T
55911,3/8/2022,12786,P11,0,Perform scheduled maintenance on electric pallet 1 90.00 90.00jack: Remove covers and blow off with compressedair. Checked all fluids and grease all fittings. Wipeddown unit.
35408,3/17/2022,12812,P11,0,"Rental Forklift:  Sit down Rental Forklift Model 1 1,275.00 1,275.00T7FBEU20, Serial # 24023 Rental period 6/17/22-7/16/22Discount 10% -127.50 -127.50Rental Enersys Battery Charger model:EIP3-IN-4Y  1 195.00 195.00TSerial # PC503J77Discount 10% -19.50 -19.50"
35439,4/28/2022,12877,P11,0,Labor Special  Rate Total Trans: Customer states unit 4 112.50 450.00has leak but they are using unit brought over. Minimast cover damaged with cardboard shoved in it. Removed and straightened.  Looks like mini mast lifthose is loose.  Adjusted.  Cleaned fluid off unit. Tested OK  Returned to service.
36659,1/5/2022,14211,P12,0,Field Service Labor:  Water battery unit.  Took 15 1.5 112.50 168.75gallons water.
35069,1/11/2022,14232,P12,0,Labor Special  Rate Total Trans:  Leaking hydraulic 1.5 112.50 168.75fluid.  Found tilt cylinder leaking.  Inspected unit foundleak coming from tilt cylinder hose connector. Replaced O ring grommet.O Ring 1 15.25 15.25T
55875,1/26/2022,14297,P12,0,Perform scheduled maintenance on propane truck: 1 113.00 113.00Blow off unit with compressed air. Change oil andfilter. Check all fluids and grease all fittings. Wipeddown unit and check all safety items.Oil Filter 1 20.85 20.85T
36737,3/10/2022,14466,P12,0,Labor Special  Rate Total Trans:  Fixed arm on left 4.5 112.50 506.25side by replacing gas spring and drilled new stop andfixed bracket cover.Spring Gas Shock Kit 1 91.75 91.75T
35433,4/15/2022,14571,P12,0,"Labor Special  Rate Total Trans:  Unit having issues 3 112.50 337.50rotating. Found pot out of range and adjusted.  Warranty Labor on Rentals -3 112.50 -337.50Labor Special  Rate Total Trans: Also, found battery 2 112.50 225.00low on water and filled with water.  Charged will testbattery tomorrow.  Removed battery.  Tested all cells. No further issue found with battery."
